id,Source,Target,Reference,Orig-Nasal-As-Line,Orig-Nasal-As-Tilde
2440,no ák alôyö ie be'r i sãúx kèq ulà wa èq tã darêqrêq káxwak alôya e' kũéxkĩ,"no , para quebrar las rocas vea usted que sólo con la mano es duro de quebrarlo , por eso",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,no ák alôyö ie be'r i sa̱ú̱ kë̀ ulà wa ë̀ ta̱ darë̂rë̂ ká̱wak alôya e' ku̱é̱ki̱,
2441,kèq ĩã wake' ì kũ e'r ák e' e'r ák e',"de todos modos no lo tienen , eso es piedra , es piedra",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kë̀ i̱a̱ wake' ì ku̱ e'r ák e' e'r ák e',
2442,pero e'r káx ĩâxĩâxë,pero eso fue hace muchísimo tiempo,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,pero e'r ká̱ i̱â̱i̱â̱ë,
2443,káx ĩâxĩâx e'r kèq ye' wã e' sùxnẽĩã,eso fue hace mucho tiempo yo no lo ví,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ká̱ i̱â̱i̱â̱ e'r kë̀ ye' wa̱ e' sù̱ne̱i̱a̱,
2444,mìxk bròq e' wámblë' kèq àxnẽ ye' tso'tke érë kèq ye' éxn ã ĩ àxnẽ,"cuándo sucedió , no sé , yo ya existía pero no me acuerdo",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,mì̱k brö̀ e' wámblë' kë̀ à̱ne̱ ye' tso'tke érë kë̀ ye' é̱n a̱ i̱ à̱ne̱,
2445,e' tã tãîx sìkuapa bák kãnèxblök érë,pero entonces había muchos no indígena trabajando,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ta̱ ta̱î̱ sìkuapa bák ka̱nè̱blök érë,
2446,tsèskuka tãîx i bák,al parecer que había muchos,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,tsèskuka ta̱î̱ i bák,
2447,tãîx i bák,había muchos,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ta̱î̱ i bák,
2448,i ù dë'kã ì wa tèröl tèröl wé ù bák tẽr dià Tsu'ku,"levantaron sus casas como seis , seis casas , las casas estaban allá abajo en Tsu'ku",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i ù dë'ka̱ ì wa tèröl tèröl wé ù bák te̱r dià Tsu'ku,
2449,ù yö'rak,hicieron las casas,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ù yö'rak,
2450,e' nûxrulônẽ tkë'tẽn mìxnẽ ã íyök e's,esas se pudrieron se enterraron convirtiéndose en tierra,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' nû̱rulône̱ tkë'te̱n mì̱ne̱ a̱ íyök e's,
2451,e' jkué tkë'tẽr ĩã dià ẽ'rök,esos sitios planos están todavía allá abajo,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' jkué tkë'te̱r i̱a̱ dià e̱'rök,
2452,éxmã e' jkué tkë'tẽr ẽ',"sí , esos sitios planos están ahí",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,é̱ma̱ e' jkué tkë'te̱r e̱',
2453,ĩâxĩâx e' tã îxñẽ kèq sa' i tsiríwẽ bua'ë,hace mucho tiempo pero hoy en día nosotros no lo molestamos mucho,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i̱â̱i̱â̱ e' ta̱ î̱ñe̱ kë̀ sa' i tsiríwe̱ bua'ë,
2454,kèq be' i tsiríwẽ ĩã bua' ie,usted no lo molesta mucho,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kë̀ be' i tsiríwe̱ i̱a̱ bua' ie,
2455,darêqrêq i ujtè dör,es duro la ley,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,darë̂rë̂ i ujtè dör,
2456,ie'pa nĩmàx tsiríũk kéĩã îxñẽ be' tso' ichóqk ie,ellos no dejan molestar los peces como usted ahorita acaba de decir,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ie'pa ni̱mà̱ tsiríu̱k kéi̱a̱ î̱ñe̱ be' tso' ichö́k ie,
2457,"ie'pa wã i ujtè détsãtke "" ya """,ellos ya trajeron la ley,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"ie'pa wa̱ i ujtè détsa̱tke ""ya""",
2458,"ie'pa wã e' ã i dàtsẽ wòqwõ èqmẽ "" ya "" e' "" sí "" détsãtkẽ e' káx wa",ellos traen eso para arriba eso sí ya están en los lugares,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"ie'pa wa̱ e' a̱ i dàtse̱ wö̀wo̱ ë̀me̱ ""ya"" e' ""sí"" détsa̱tke̱ e' ká̱ wa",
2459,kèq i kiànẽ tkèĩã sulèq wa éxmã se' dòqrànẽ se' icha wa shkãmẽ'la wa,"no hace falta pescarlos con flecha , entonces volveremos con nosotro con arcos",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kë̀ i kiàne̱ tkèi̱a̱ sulë̀ wa é̱ma̱ se' dö̀ràne̱ se' icha wa shka̱me̱'la wa,
2460,"se' dòqköl dòqnẽ "" pero "" be' ichakè ye' yì wóqular ĩã îxñẽ shkãmẽ' wa e's","tenemos que retrocedernos , pero yo te pregunto que ahora quién sabe con arco , así",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"se' dö̀köl dö̀ne̱ ""pero"" be' ichakè ye' yì wö́ular i̱a̱ î̱ñe̱ shka̱me̱' wa e's",
2461,"wake' se' dénẽ ẽ' tã se' "" tiene que "" ẽ' wóqulaúxk",de todos modos si llegamos ahí tenemos que aprender,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"wake' se' déne̱ e̱' ta̱ se' ""tiene que"" e̱' wö́ulaú̱k",
2462,"sa' tso' ĩã i' ã "" pero "" se' ãñìx wòq akwaie kèq sa' wóqular ĩã shkãmẽ' shkãmẽ' ichóqkle ichóqkle e' yawóqk","nosotros que estamos aún aquí , pero no menospreciar a los demás , nosotros ya no sabemos el propio arco , el propio arco , hacer eso",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"sa' tso' i̱a̱ i' a̱ ""pero"" se' a̱ñì̱ wö̀ akwaie kë̀ sa' wö́ular i̱a̱ shka̱me̱' shka̱me̱' ichö́kle ichö́kle e' yawö́k",
2463,"ni i yawóqk "" ni "" i ûyök tö wèxs i ûyèkẽ","ni hacer , ni lanzar , cómo se lanza",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"ni i yawö́k ""ni"" i ûyök tö wè̱s i ûyèke̱",
2464,dióq mã i wà ẽ' ièkã mã shalít,si ahí por casualidad se te presenta y fallas,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,diö́ ma̱ i wà e̱' ièka̱ ma̱ shalít,
2465,pero e' tkèmĩ sö shalít e'tökicha bòqtökicha mãñàxtökicha tã se' ulà dé iska,"pero podemos fallar una vez dos y tres veces , lo atrapamos",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,pero e' tkèmi̱ sö shalít e'tökicha bö̀tökicha ma̱ñà̱tökicha ta̱ se' ulà dé iska,
2466,"se' ulà dé iska "" talves "" tsîxnẽtkla e' bròq se' kirírwãmĩ i núx wéx wéx dawówãtkẽ ése ése núx",uno atrapa tal vez cerquita aquellas que ya estan por morir,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"se' ulà dé iska ""talves"" tsî̱ne̱tkla e' brö̀ se' kirírwa̱mi̱ i nú̱ wé̱ wé̱ dawówa̱tke̱ ése ése nú̱",
2467,ãñúxk,risas,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,a̱ñú̱k,
2468,"no blë'këkëpa kèke blë'këkëpa ñẽ' ã ichèke sö shkãmẽ' ñẽ' yawóqknẽ be' isãúx móxköl ujtè darêqrêq i ujtè darêqrêq "" entonces ""","no a los mayores le vamos a dejar , y le decimos que nos vuelva a hacer arco , vea usted que el rifle y otros poseen mucha ley estricta",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"no blëʼkëkëpa kèke blë'këkëpa ñe̱' a̱ ichèke sö shka̱me̱' ñe̱' yawö́kne̱ be' isa̱ú̱ mó̱köl ujtè darë̂rë̂ i ujtè darë̂rë̂ ""entonces""",
2469,mòxkĩ móxköl ujtè darêqrêq îxñẽ be' isãúx móxköl,deberas el rifle tiene en estos tiempos mucha ley vea el rifle,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,mò̱ki̱ mó̱köl ujtè darë̂rë̂ î̱ñe̱ be' isa̱ú̱ mó̱köl,
2470,e' kũéxkĩ se' icha wòq blërkẽwã kèq e's yì i tsiríwẽ,por eso la de nosotros se está perdiendo nadie los molesta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ku̱é̱ki̱ se' icha wö̀ blërke̱wa̱ kë̀ e's yì i tsiríwe̱,
2471,kali'wèx dànẽ sö sku' wa,lo pescaremos con red,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kali'wè̱ dàne̱ sö sku' wa,
2472,"kèq kalínũk ĩã wèxs sku' wa "" también "" sku' wa i kalíúxk blë'këkëpa bák e' ujtè wòqbalèqnẽ ãñìxes",no se puede pescar con red tambien los mayores los pescaban con red antes pero eso ya se perdió,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"kë̀ kalínu̱k i̱a̱ wè̱s sku' wa ""también"" sku' wa i kalíú̱k blë'këkëpa bák e' ujtè wö̀balë̀ne̱ a̱ñì̱es",
2473,entonces be' kèq dë'kã ó yéqria ie,entonces usted no llegó cazador de lo sagrado,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,entonces be' kë̀ dëʼka̱ ó yë́ria ie,
2474,no ñẽ' be' ichè dalòq ie' tso' ie' dalòq míxk ie' ie',"no como usted dice ella está con su poder pegada ella , ella",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,no ñe̱' be' ichè dalö̀ ie' tso' ie' dalö̀ mí̱k ie' ie',
2475,e'r be' kutàienẽ,es como su hermana,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e'r be' kutàiene̱,
2476,dalòqtsẽ ĩã sa',nosotros le guardamos respeto,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,dalö̀tse̱ i̱a̱ sa',
2477,sa' sawànã ie' yóqk kèq sa' ie' tsiríwẽ,nosotros le tenemos miedo nosotros no la molestamos,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,sa' sawàna̱ ie' yö́k kë̀ sa' ie' tsiríwe̱,
2478,éxmã se' yàmĩpa i ujtè e' tã i bitséitsèkẽ,"sí , la familia la mata se guarda dieta",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,é̱ma̱ se' yàmi̱pa i ujtè e' ta̱ i bitséitsèke̱,
2479,ũjúx bitséitsèkẽ,"uju , se guarda dieta",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,u̱jú̱ bitséitsèke̱,
2480,káx bìt sö i bitséitsèkẽ ?,cuantos días tenemos que guardar dieta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,¿ká̱ bìt sö i bitséitsèke̱?,
2481,káx e'tk èq,un solo día,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ká̱ e'tk ë̀,
2482,káx e'tk èq,un solo día,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ká̱ e'tk ë̀,
2483,wéx i ujtè wã e' i bitséitsèkẽ káx tãîx ö wèxs,"el quien la mata tiene que guardar mucho tiempo dieta , o como",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,wé̱ i ujtè wa̱ e' i bitséitsèke̱ ká̱ ta̱î̱ ö wè̱s,
2484,i ujtèwã e's bitséitsèkẽ dör káx pàköl,se mata así se guarda dieta ocho días,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i ujtèwa̱ e's bitséitsèke̱ dör ká̱ pàköl,
2485,e' ta wèxs e' bitséitsèkẽ ie' dör,entonces como él guarda dieta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ta wè̱s e' bitséitsèke̱ ie' dör,
2486,ie' bitsòqkẽ bêqr ie' bitsòqkẽ,"él guarda dieta tranquilo , tranquilo , guarda dieta",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ie' bitsö̀ke̱ bë̂r ie' bitsö̀ke̱,
2487,ie' i ujtèwã ie' i ujtèwã tã ie',"él mata , él mata y él",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ie' i ujtèwa̱ ie' i ujtèwa̱ ta̱ ie',
2488,bêqr ie' bitsòqkẽ bánẽt,tranquilo él guarda dieta en otro lado,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,bë̂r ie' bitsö̀ke̱ báne̱t,
2489,kèq ẽ' bátsẽ ye' ikiè alákölpa òxmĩk,no se puede unir digo yo a las mujeres,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kë̀ e̱' bátse̱ ye' ikiè alákölpa a̱mi̱k,
2490,kèq kapòqkũ i tàyë tã yéqs,no duerme con la señora nunca,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kë̀ kapö̀ku̱ i tàyë ta̱ yë́s,
2491,sí ie' tàyé tã' mã ie' tàyë kapòqkẽ bánẽt ie' wák kapòqkẽ tër bánẽt,sí él tiene señora la señora duerme en otra parte y él en otra parte,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,sí ie' tàyé ta̱' ma̱ ie' tàyë kapö̀ke̱ báne̱t ie' wák kapö̀ke̱ tër báne̱t,
2492,kèq kapòqkũ ẽ',no duerme allí,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kë̀ kapö̀ku̱ e̱',
2493,káx pàköl e'tã ie' i ujté dé káxsẽ wë',ocho días él aguanta frío suficiente,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ká̱ pàköl e'ta̱ ie' i ujté dé ká̱se̱ wë',
2494,be'r,usted,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,be'r,
2495,pero éq i wà katè sö érë,pero nada más comemos siempre,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,pero ë́ i wà katè sö érë,
2496,éxmã se' chkòqkẽ e' chkòqkẽ,"sí comemos , sí comemos",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,é̱ma̱ se' chkö̀ke̱ e' chkö̀ke̱,
2497,bêqr se' yêqar,estarse tranquilo,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,bë̂r se' yë̂ar,
2498,bêqr se' yêqar,estarse tranquilo,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,bë̂r se' yë̂ar,
2499,tkẽ'k tsáx wòqnĩrkẽ,al cuarto día se unge,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,tke̱'k tsá̱ wö̀ni̱rke̱,
2500,a se' wòqnĩrkẽ,a uno se le unge,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,a se' wö̀ni̱rke̱,
2501,se' wòqnĩèxkẽ ie'pa blë'këkë dör se' wòqnĩèxkẽ wòqnĩrule,"los mayores unge , ellos los unge ungidos ,",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,se' wö̀ni̱è̱ke̱ ie'pa blëʼkëkë dör se' wö̀ni̱è̱ke̱ wö̀ni̱rule,
2502,wéx wã i téqrule dòqkã,el quien había tirado hasta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,wé̱ wa̱ i të́rule dö̀ka̱,
2503,skéxl ése se' dör se' wòqnĩèxkẽ i kĩ,cinco veces ese se encaga de ungirnos,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ské̱l ése se' dör se' wö̀ni̱è̱ke̱ i ki̱,
2504,be' ichè sö i ujtè dé skéxl e' tã e' tã,"dice usted que si llegamos a matar cinco entonces , así entonces",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,be' ichè sö i ujtè dé ské̱l e' ta̱ e' ta̱,
2505,e' tã se' dékã i kĩ,entonces llegamos a cumplir lo requerido,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ta̱ se' déka̱ i ki̱,
2506,e' tã sö i bitséitsèkẽ ĩã ö kèq sö i bitséitsè ĩã,"en ese entonces tenemos que guardar dieta , o no guardamos dieta",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ta̱ sö i bitséitsèke̱ i̱a̱ ö kë̀ sö i bitséitsè i̱a̱,
2507,"no se' bitsòqkẽ e' bitsòqkẽ "" pero "" e'tã se' dékã i kĩ","no , guardamos dieta guardamos dieta , para cumplir lo requerido",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"no se' bitsö̀ke̱ e' bitsö̀ke̱ ""pero"" e'ta̱ se' déka̱ i ki̱",
2508,kéxkra wake' e' bitséitsèke,siempre de todos modos se guada dieta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ké̱kra wake' e' bitséitsèke,
2509,kéxkra e' bitséitsèke,siempre se guarda dieta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ké̱kra e' bitséitsèke,
2510,"ye' ẽn bikö skéxl sö i ujtè dé tã "" ya "" i o'lônã e' tã "" ya "" éq sö i ujtèmĩ wake'","yo pensaba que si llegamos a matar cinco y ya concluye , y así ya lo podemos matar de cualquier modo",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"ye' e̱n bikö ské̱l sö i ujtè dé ta̱ ""ya"" i o'lôna̱ e' ta̱ ""ya"" ë́ sö i ujtèmi̱ wake'",
2511,úú,úú,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,úú,
2512,sa'' i' ël sa' éqltë tã wake' i bitséitsèkẽ kéxkra,para nosotros siempre se guarda dieta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,sa'' i' ël sa' ë́ltë ta̱ wake' i bitséitsèke̱ ké̱kra,
2513,wéx dör i ujtéwã uka' e' tã wèxs,"el quien la mata por primera vez , entonces cómo ?",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,wé̱ dör i ujtéwa̱ uka' e' ta̱ wè̱s,
2514,e' tã e' wòqnĩèxkẽ,entonces a ese se le unge,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ta̱ e' wö̀ni̱è̱ke̱,
2515,apà wéx ẽ' ia'wéx e' tã e' ö wéx wéx wã i kòqtule skéxl e' dör e' wòq,"pa ... quien queda manchado entonces o aquel , aquel que ha matado cinco ese es el encargado o quien las ha matado cinco ese es",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,apà wé̱ e̱' ia'wé̱ e' ta̱ e' ö wé̱ wé̱ wa̱ i kö̀tule ské̱l e' dör e' wö̀,
2516,e' ia'wèxkẽ,es manchado,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ia'wè̱ke̱,
2517,e' ù kuèke e'r e' ã,ese purifica la casa con eso,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ù kuèke e'r e' a̱,
2518,àà à,ààà,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,àà à,
2519,kúl,siete,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,kúl,
2520,e' tã ie' déwã ù e' ã wéxshkẽ,entonces él puede llegar a esa casa adentro,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' ta̱ ie' déwa̱ ù e' a̱ wé̱shke̱,
2521,wéx i ujtèwã uka' e' tã ie'pa i yík ñeéx e'tã ì e ie'pa i yík ñéxe,adonde la mata por primera vez y le corta el hocico y para qué ellos les cortan el hocico,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,wé̱ i ujtèwa̱ uka' e' ta̱ ie'pa i yík ñeé̱ e'ta̱ ì e ie'pa i yík ñé̱e,
2522,ã ie'pa i yík ñèxke e',ese ellos cortan el hocico,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,a̱ ie'pa i yík ñè̱ke e',
2523,ie'pa blë'këkëpa e' apàke tö ie'pa e' yík ñèxke e' wa icha i wòq kió ie,ellos los mayores explican al cortar el hocico es para atraerlo,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ie'pa blëʼkëkëpa e' apàke tö ie'pa e' yík ñè̱ke e' wa icha i wö̀ kió ie,
2524,e' ã ie'r skà ie' dawè tso' e' kũéxkĩ e' ñèxke,y tambien allí ella produce la enfermedad por eso se corta,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' a̱ ie'r skà ie' dawè tso' e' ku̱é̱ki̱ e' ñè̱ke,
2525,à e' ã ie' dawè tso',á allí ella produce la enfermedad,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,à e' a̱ ie' dawè tso',
2526,e' ã ie' dawè tso' e' kũéxkĩ e' ñèxke ie' yóqkĩ,allí ella produce la enfermedad por eso se le corta a ella,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e' a̱ ie' dawè tso' e' ku̱é̱k e' ñè̱ke ie' yö́ki̱,
2527,e's ie i wà dör,es así el asunto,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e's ie i wà dör,
2528,e's ie i wà dör,así es el asunto,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,e's ie i wà dör,
2529,ñéx tã wèxs blë'këkëpa i wéx,aquella que los mayores la hacen,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ñé̱ ta̱ wè̱s blëʼkëkëpa i wé̱,
2530,bua' balèkẽwã íyök ã ie'pa,ellos las entierran bien en la tierra,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,buaʼ balèke̱wa̱ íyök a̱ ie'pa,
2531,íyök ã i balèkẽwã,en la tierra se entierra,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,íyök a̱ i balèke̱wa̱,
2532,ũjùx e' balèkẽwã íyök ã,ese se etierra en la tierra,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,u̱jù̱ e' balèke̱wa̱ íyök a̱,
2533,i kiówã ẽ' dör,para atraerla allí,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i kiówa̱ e̱' dör,
2534,iéqtökicha tã i bitéxãnẽ ẽ' dör,otro tiempo se viene allí mismo,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ië́tökicha ta̱ i bité̱a̱ne̱ e̱' dör,
2535,tkòqrö wéx ie' wéx ie' dawówã tsîxnẽt,hasta donde ella murió cerca,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,tkö̀rö wé̱ ie' wé̱ ie' dawówa̱ tsî̱ne̱t,
2536,i kió ie tsîxnẽt,atraerla cerca,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i kió ie tsî̱ne̱t,
2537,a e' dör i wòq ichàko ie,à ese es para atraerla,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,a e' dör i wö̀ ichàko ie,
2538,ichàko ie,atraerla,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,ichàko ie,
2539,i kíx kiónẽ iéqtökicha,atraer a más otro oportunidad,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i kí̱ kióne̱ ië́tökicha,
2540,i kíx kió ie,atraer a más,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i kí̱ kió ie,
2541,entonces se' éq e' kéũmĩ e' tã kèq i déqĩã,entonces si nosotros la botamos a la nada entonces ya no regresa,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,entonces se' ë́ e' kéu̱mi̱ e' ta̱ kë̀ i dë́i̱a̱,
2542,se' kèq wã e' bitséitsẽ tã wèxs wèxs se' wéxnẽ irir,si uno no guarda dieta y que nos pasa después,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,se' kë̀ wa̱ e' bitséitse̱ ta̱ wè̱s wè̱s se' wé̱ne̱ irir,
2543,chè icha kèq se' wã i bitséitsẽ tã káx tkéxk se' ukö i dawè ukòq kũlĩrimĩnẽ e' kũéxkĩ,dicen que si uno no guarda dieta al tiempo uno padecerá de la enfermedad es por eso,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,chè icha kë̀ se' wa̱ i bitséitse̱ ta̱ ká̱ tké̱k se' ukö i dawè ukö̀ ku̱li̱rimi̱ne̱ e' ku̱é̱ki̱,
2544,"se' káxwötã éq i tsióũk béqrë béqrë kèq se' ã bua' i bitséitsök "" pero "" éq béqrë béqrë","nosotros tenemos que guardar dieta , no bien cumplido pero maś o menos",CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,"se' ká̱wöta̱ ë́ i tsióu̱k bë́rë bë́rë kë̀ se' a̱ bua' i bitséitsök ""pero"" ë́ bë́rë bë́rë",
2545,aìnũ wòqwa èq,antes los ojos de aquel,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,aìnu̱ wö̀wa ë̀,
2546,i dawè shkèxnã se' òxmĩk e'r dawè wéxse shkèxnã se' mĩk,se padece la enfermedad y que clase de enfermedad vamos a tener nosotros,CorpusSofia B17h20m21s20jun2015.html Conversación de dos hombres sobre los animales de la montaña,i dawè shkè̱na̱ se' a̱mi̱k e'r dawè wé̱se shkè̱na̱ se' mi̱k,
